id,manufacturer,product_item,description,total_ins,total_outs,date_out,stock_inhand,sr_no,mac_product_no,to_user,to_client,ticket_id,inventory_comments,created_date,,,,,,
178,Dell,Dell Latitude 5480, i5-6300U CPU @ 2.40GHz - HDD 256GB SSD - (RAM) 16.0 GB,1,1,2025-11-20,,3KT0X2,dig\kulvir,,Diamond,#21155,,2024-11-19,,,,,,
179,Lenovo,Lenovo ThinkPad T480s,"i7-8650U CPU @ 1.90GHz, 2112 Mhz, 4 Core(s)  RAM 16.0 GB HDD 512 GB NVMe",1,1,2025-11-21,,PC15541J, A0-51-0B-0C-FA-FD,Manjit,A Spec Precision,#20818,,2024-11-19,,,,,,
180,Lenovo,Lenovo ThinkPad T480s,"i7-8650U CPU @ 1.70GHz, 1896 Mhz, 4 Core(s)  RAM 16.0 GB HDD 250 GB NVMe",1,1,2024-11-25,,PC19DLEY,,Aditya  (Asif),Diamond,#21265,,2024-11-19,,,,,,
181,Yealink,Business Phone - SIP - T54W,6/30/2024,1,1,2025-01-31,,201081E101200415,249AD826BD82,,Diamond,#22891,,2024-12-11,,,,,,
182,Yealink,Business Phone - SIP - T54W,6/30/2024,1,1,2025-01-31,,301081E081243935,249AD810B7D7,,Diamond,#22891,,2024-12-11,,,,,,
183,Dell,Dell Latitude E7470,"Intel(R) Core(TM) i7-6650U CPU @ 2.20GHz, 2201 Mhz, 2 Core(s), 4 Logical Processor(s), (RAM)16.0 GB,HDD 256GB NVMe
",,1,2024-12-17,,7HC0PC2,dig\sukhveer,,Diamond,#22000,,2024-12-17,,,,,,
184,,Cable - HDMI to DVI,,4,,,,Stock re-checked,Store Top Drawer,,,,,2024-12-19,,,,,,
185,9.8 feet,Cable - HDMI to DVI,,1,,,,Stock re-checked,Store Top Drawer,,,,,2024-12-19,,,,,,
186,White,Cable - Display,,1,,,,Stock re-checked,Store Top Drawer,,,,,2024-12-19,,,,,,
187,Black,Cable - Display,,2,,,,Stock re-checked,Store Top Drawer,,,,,2024-12-19,,,,,,
188,10 feet,Cable - VGA,,1,,,,Stock re-checked,Store Top Drawer,,,,,2024-12-19,,,,,,
189,6 feet,Cable - VGA,,1,,,,Stock re-checked,Store Top Drawer,,,,,2024-12-19,,,,,,
190,,Cable - VGA,,14,,,,Stock re-checked,Store Top Drawer,,,,,2024-12-19,,,,,,
191,10 feet,Cable - HDMI,,1,,,,Stock re-checked,Store Top Drawer,,,,,2024-12-19,,,,,,
192,,Cable - DVI,,2,,,,Stock re-checked,Store Top Drawer,,,,,2024-12-19,,,,,,
193,,Cable - HDMI to Display,,1,,,,Stock re-checked,Store Top Drawer,,,,,2024-12-19,,,,,,
194,,Cable - HDMI to VGA,,5,,,,Stock re-checked,Store Top Drawer,,,,,2024-12-19,,,,,,
195,,Converter - DVI to Display,,12,,,,Stock re-checked,Store Top Drawer,,,,,2024-12-19,,,,,,
196,,Converter - VGA to Display,,7,,,,Stock re-checked,Store Top Drawer,,,,,2024-12-19,,,,,,
197,,Converter - HDMI to Display,,1,1,2025-01-03,,Stock re-checked,Store Top Drawer,,Gracious,#22631,,2024-12-19,,,,,,
198,,Converter - HDMI to Display,,1,1,2025-01-22,,Stock re-checked,Store Top Drawer,,Haulage,#23345,,2024-12-19,,,,,,
199,,Converter - HDMI to Display,,1,1,2025-01-22,,Stock re-checked,Store Top Drawer,,Haulage,#23345,,2024-12-19,,,,,,
200,,Converter - HDMI to Display,,1,1,2025-01-27,,Stock re-checked,Store Top Drawer,,Haulage,,,2024-12-19,,,,,,
201,,Converter - HDMI to Display,,1,,2025-01-27,,Stock re-checked,Store Top Drawer,,,,Damaged,2024-12-19,,,,,,
202,,Converter - HDMI to Display,,1,,2025-01-27,,Stock re-checked,Store Top Drawer,,,,Damaged,2024-12-19,,,,,,
203,Cat6 - 1 feet,N/W Cable,,20,,,,Stock re-checked,Store Middle Drawer,,,,,2024-12-19,,,,,,
204,Cat5e - 6 Inch,N/W Cable,,9,,,,Stock re-checked,Store Middle Drawer,,,,,2024-12-19,,,,,,
205,Cat6 - 75 feet,N/W Cable,,1,,,,Stock re-checked,Store Middle Drawer,,,,,2024-12-19,,,,,,
206,Cat6 - 100 feet,N/W Cable,,1,,,,Stock re-checked,Store Middle Drawer,,,,,2024-12-19,,,,,,
207,Cat6 - 10 feet,N/W Cable,,4,,,,Stock re-checked,Store Middle Drawer,,,,,2024-12-19,,,,,,
208,Cat6 - 7 feet,N/W Cable,,1,,,,Stock re-checked,Store Middle Drawer,,,,,2024-12-19,,,,,,
209,,N/W USB - RJ45 Ext Adapter,,1,,,,Stock re-checked,Store Middle Drawer,,,,,2024-12-19,,,,,,
210,,Phone Spiral Cords,,1,1,2025-01-03,,Stock re-checked,Reception Desk Lower Drawer,,Gracious - Dhvani,#22633,,2024-12-19,,,,,,
211,,Phone Spiral Cords,,1,,,,Stock re-checked,Reception Desk Lower Drawer,,,,,2024-12-19,,,,,,
212,,Phone Spiral Cords,,1,,,,Stock re-checked,Reception Desk Lower Drawer,,,,,2024-12-19,,,,,,
213,,Phone Spiral Cords,,1,,,,Stock re-checked,Reception Desk Lower Drawer,,,,,2024-12-19,,,,,,
214,,Phone Spiral Cords,,1,,,,Stock re-checked,Reception Desk Lower Drawer,,,,,2024-12-19,,,,,,
215,,Phone Spiral Cords,,1,,,,Stock re-checked,Reception Desk Lower Drawer,,,,,2024-12-19,,,,,,
216,,Phone Spiral Cords,,1,,,,Stock re-checked,Reception Desk Lower Drawer,,,,,2024-12-19,,,,,,
217,,Phone Spiral Cords,,1,,,,Stock re-checked,Reception Desk Lower Drawer,,,,,2024-12-19,,,,,,
218,,Phone Spiral Cords,,1,,,,Stock re-checked,Reception Desk Lower Drawer,,,,,2024-12-19,,,,,,
219,,Phone Spiral Cords,,1,,,,Stock re-checked,Reception Desk Lower Drawer,,,,,2024-12-19,,,,,,
220,,Phone Spiral Cords,,1,,,,Stock re-checked,Reception Desk Lower Drawer,,,,,2024-12-19,,,,,,
221,,Printer Cable,,5,,,,Stock re-checked,Reception Desk Lower Drawer,,,,,2024-12-19,,,,,,
222,Aux - 35 feet,Audio Cable,,1,,,,Stock re-checked,Store Room Shelf,,,,,2024-12-19,,,,,,
223,Yealink - Output 5v - 600mA,Phone Power Adapters,,1,,,,Stock re-checked,Reception Desk Lower Drawer,,,,,2024-12-19,,,,,,
224,Yealink - Output 5v - 600mA,Phone Power Adapters,,1,,,,Stock re-checked,Store Room Shelf,,,,,2024-12-19,,,,,,
225,No Name - Output 6v - 300mA,Power Adapters,,1,,,,Stock re-checked,Store Room Shelf,,,,,2024-12-19,,,,,,
226,Pace - Output 5.1v - 2A,Power Adapters,,2,,,,Stock re-checked,Store Room Shelf,,,,,2024-12-19,,,,,,
227,Sony - output 5v - 2000mA,Power Adapters,,1,,,,Stock re-checked,Store Room Shelf,,,,,2024-12-19,,,,,,
228,No Name - Output 12v - 3A,Power Adapters,,2,,,,Stock re-checked,Store Room Shelf,,,,,2024-12-19,,,,,,
229,No Name - Output 12v - 1A,Power Adapters,,2,,,,Stock re-checked,Store Room Shelf,,,,,2024-12-19,,,,,,
230,DVE - Output 12v - 1A,Power Adapters,,1,,,,Stock re-checked,Store Room Shelf,,,,,2024-12-19,,,,,,
231,MassPower - Output 12v - 1A,Power Adapters,,2,,,,Stock re-checked,Store Room Shelf,,,,,2024-12-19,,,,,,
232,GCI Transformer - Output 12VDC 800mA,Power Adapters,,1,1,2024-12-31,,Stock re-checked,Store Room Shelf,,Gracious,,,2024-12-19,,,,,,
233,No Name - Output 12v - 5A,Power Adapters,,1,,,,Stock re-checked,Store Room Shelf,,,,,2024-12-19,,,,,,
234,GCI Transformer - Output 12VDC 500mA,Power Adapters,,2,,,,Stock re-checked,Store Room Shelf,,,,,2024-12-19,,,,,,
235,No Name - Output 12V 3.33A,Power Adapters,,3,,,,Stock re-checked,Store Room Shelf,,,,,2024-12-19,,,,,,
236,GCI Transformer - Output 12VDC 1000mA,Power Adapters,,2,,,,Stock re-checked,Store Room Shelf,,,,,2024-12-19,,,,,,
237,Fine - Output 9V 500mA,Power Adapters,,1,,,,Stock re-checked,Store Room Shelf,,,,,2024-12-19,,,,,,
238,No Name - Output 12v - 5000mA,Power Adapters,,1,,,,Stock re-checked,Store Room Shelf,,,,,2024-12-19,,,,,,
239,No Name - Output 12v - 2000mA,Power Adapters,,1,,,,Stock re-checked,Store Room Shelf,,,,,2024-12-19,,,,,,
240,D Link - Output 5v - 2A,Power Adapters,,1,,,,Stock re-checked,Store Room Shelf,,,,,2024-12-19,,,,,,
241,No Name - Output 5V - 1.2A,Power Adapters,,2,,,,Stock re-checked,Store Room Shelf,,,,,2024-12-19,,,,,,
242,SagemCom - Output 12v - 2A,Power Adapters,,1,,,,Stock re-checked,Store Room Shelf,,,,,2024-12-19,,,,,,
243,TP-Link - Output 9V - 0.6A,Power Adapters,,1,,,,Stock re-checked,Store Room Shelf,,,,,2024-12-19,,,,,,
244,Mass Power - Output 12.0V - 0.5A,Power Adapters,,3,,,,Stock re-checked,Store Room Shelf,,,,,2024-12-19,,,,,,
245,UllPower - Output - 24V - 800mA,Power Adapters,,1,,,,Stock re-checked,Store Room Shelf,,,,,2024-12-19,,,,,,
246,DVE - Output - +5V - 2.5A,Power Adapters,,1,,,,Stock re-checked,Store Room Shelf,,,,,2024-12-19,,,,,,
247,Mass Power - Model#E096-1A530181B3 (Output - 53.0V - 1.81A),Laptop Adapters,,1,,,,Stock re-checked,Store Room Shelf,,,,,2024-12-19,,,,,,
248,APO - Model#DA-36P12 [Output 12V -3A],Laptop Adapters,,1,,,,Stock re-checked,Store Room Shelf,,,,,2024-12-19,,,,,,
249,Dell - Model# LA130 PM 121 [Output 19.5V - 6.7A],Laptop Adapters,,2,,,,Stock re-checked,Store Room Shelf,,,,,2024-12-19,,,,,,
250,Model F150503-B Output 12V - 4.16A [50W],Laptop Adapters,,1,,,,Stock re-checked,Store Room Shelf,,,,,2024-12-19,,,,,,
251,Phihong - N136 [Output +12V -2.5A],Laptop Adapters,,1,,,,Stock re-checked,Store Room Shelf,,,,,2024-12-19,,,,,,
252,Lenovo - Model - ADLX65NCC2A [20V - 3.25A],Laptop Adapters,,1,,,,Stock re-checked,Store Room Shelf,,,,,2024-12-19,,,,,,
253,Lenovo - Model - PA-1151-11VA [ Output 19.5V - 7.7A],Laptop Adapters,,1,,,,Stock re-checked,Store Room Shelf,,,,,2024-12-19,,,,,,
254,Dell - Model# FA90PE1-00 [Output 19.5V - 4.62A],Laptop Adapters,,1,,,,Stock re-checked,Store Room Shelf,,,,,2024-12-19,,,,,,
255,HP - Model # 0957-2084 [Output 32V - 16A],Laptop Adapters,,1,,,,Stock re-checked,Store Room Shelf,,,,,2024-12-19,,,,,,
256,Dell - Model# DA130PE1-00 [Output 19.5V - 6.7A],Laptop Adapters,,1,,,,Stock re-checked,Store Room Shelf,,,,,2024-12-19,,,,,,
257,HP Output - 19.5 V - 3.33A,Laptop Adapters,,1,,,,Stock re-checked,Store Room Shelf,,,,,2024-12-19,,,,,,
258,Dell PA 1900   Output 19.5 V - 4.62A,Laptop Adapters,,1,,,,Stock re-checked,Store Room Shelf,,,,,2024-12-19,,,,,,
259,Dell DA130PE1-00 Output 19.5 V - 6.7A,Laptop Adapters,,1,,,,Stock re-checked,Store Room Shelf,,,,,2024-12-19,,,,,,
260,Toshiba Adp 75SB Output 19V - 3.95A,Laptop Adapters,,1,,,,Stock re-checked,Store Room Shelf,,,,,2024-12-19,,,,,,
261,HP Output - 18.5V - 3.5A,Laptop Adapters,,1,,,,Stock re-checked,Store Room Shelf,,,,,2024-12-19,,,,,,
262,No Name Output 18.5v - 3.5A,Laptop Adapters,,1,,,,Stock re-checked,Store Room Shelf,,,,,2024-12-19,,,,,,
263,Miscellaneous Cables Box,USB Extender Cable,,1,,,,Stock re-checked,Store Room Shelf,,,,,2024-12-19,,,,,,
264,Miscellaneous Cables Box,WiFi Antennas,,2,,,,Stock re-checked,Store Room Shelf,,,,,2024-12-19,,,,,,
265,Miscellaneous Cables Box,USB Data Cable,,1,,,,Stock re-checked,Store Room Shelf,,,,,2024-12-19,,,,,,
266,Miscellaneous Cables Box,A/V cable,,1,,,,Stock re-checked,Store Room Shelf,,,,,2024-12-19,,,,,,
267,Miscellaneous Cables Box,Power Bars,,10,,,,Stock re-checked,Printer Drawer,,,,,2024-12-19,,,,,,
268,Fluke +  Cable Testing Tools,N/W Testing Tools,,1,,,,Stock re-checked,Accountant Office Drawer,,,,1 each,2024-12-19,,,,,,
269,Dell Laptop,Latitude 7400,,1,1,2024-12-20,,JXXV0Z2,i5 8th Gen - 8 GB RAM - 256 NVMe,,Vendor,,,2024-12-20,,,,,,
270,Dell Laptop,Latitude 7400,,1,1,2024-12-20,,FVB72Z2,i5 8th Gen - 8 GB RAM - 256 NVMe,,Vendor,,,2024-12-20,,,,,,
271,Dell Laptop,Latitude 7400,,1,1,2024-12-20,,8GZ62Z2,i5 8th Gen - 8 GB RAM - 256 NVMe,,Vendor,,,2024-12-20,,,,,,
272,Dell Laptop,Latitude 7400,,1,1,2024-12-20,,DWKP533,i5 8th Gen - 8 GB RAM - 256 NVMe,,Vendor,,,2024-12-20,,,,,,
273,Dell Laptop,Latitude 7400,,1,1,2024-12-20,,HYM2L13,i5 8th Gen - 8 GB RAM - 256 NVMe,,Vendor,,,2024-12-20,,,,,,
274,Dell Laptop,Latitude 7400,,1,1,2024-12-20,,HGPB3X2,i5 8th Gen - 8 GB RAM - 256 NVMe,,Vendor,,,2024-12-20,,,,,,
275,Dell Laptop,Latitude 7400,,1,1,2024-12-20,,3VLX0Z2,i5 8th Gen - 8 GB RAM - 256 NVMe,,Vendor,,,2024-12-20,,,,,,
276,Dell Laptop,Latitude 7400,,1,1,2024-12-20,,8WTN2Z2,i5 8th Gen - 8 GB RAM - 256 NVMe,,Vendor,,,2024-12-20,,,,,,
277,Dell Laptop,Latitude 7400,,1,1,2024-12-20,,3FC3L13,i5 8th Gen - 8 GB RAM - 256 NVMe,,Vendor,,,2024-12-20,,,,,,
278,Dell Laptop,Latitude 7400,,1,1,2024-12-20,,3V3H533,i5 8th Gen - 8 GB RAM - 256 NVMe,NOT Turning ON,Vendor,,,2024-12-20,,,,,,
279,Dell Laptop,Latitude 7400,,1,1,2024-12-20,,BK03L13,i5 8th Gen - 8 GB RAM - 256 NVMe,,Vendor,,,2024-12-20,,,,,,
280,Dell Laptop,Latitude 7400,,1,1,,,HCNX0Z2,i5 8th Gen - 8 GB RAM - 256 NVMe,,Vendor,,,2024-12-20,,,,,,
281,Dell Laptop,Latitude 7400,,1,1,,,819MN13,i5 8th Gen - 8 GB RAM - 256 NVMe,,Vendor,,,2024-12-20,,,,,,
282,Dell Laptop,Latitude 7400,,1,1,,,9GXG633,i5 8th Gen - 8 GB RAM - 256 NVMe,,Vendor,,,2024-12-20,,,,,,
283,Dell Laptop,Latitude 7400,,1,1,,,D9CG633,i5 8th Gen - 8 GB RAM - 256 NVMe,,Vendor,,,2024-12-20,,,,,,
284,Dell Laptop,Latitude 7400,,1,1,,,GFHH533,i5 8th Gen - 8 GB RAM - 256 NVMe,,Vendor,,,2024-12-20,,,,,,
285,Dell Laptop,Latitude 7400,,1,1,,,GH9X2X2,i5 8th Gen - 8 GB RAM - 256 NVMe,,Vendor,,,2024-12-20,,,,,,
286,Dell Laptop,Latitude 7400,,1,1,,,849X2X2,i5 8th Gen - 8 GB RAM - 256 NVMe,,Vendor,,,2024-12-20,,,,,,
287,TP Link - 16-Port  Gigabit Desktop Switch (12V x 1A),TP-Link TL-sg116,,1,1,2024-12-31,,2.22627E+12,,,Gracious,#22559,,2024-12-24,,,,,,
288,Ubiquiti Inc,UniFi AP AC PRO,,1,,,,(G)245A4C2606BF,,,,,,2024-12-27,,,,,,
289,Dell,LCD S2725H,,1,1,2025-01-24,,C0W4H34,,,Haulage,#23406,,2024-12-30,,,,,,
290,Dell,LCD S2725H,,1,1,2025-01-22,,DZT4H34,,,Haulage,#23345,,2024-12-30,,,,,,
291,Dell,LCD S2725H,,1,1,2025-01-22,,HJT4H34,,,Haulage,#23345,,2024-12-30,,,,,,
292,Dell,LCD S2725H,,1,1,2025-01-03,,GMV4H34,,,Gracious,#22632,,2024-12-30,,,,,,
293,Dell Laptop,Dell Latitude 7480,,1,1,2025-01-10,,FXSF3H2,"i5-7300U 16 GB, 256 GB NVMe",,Diamond,#22766,,2025-01-08,,,,,,
294,Dell Laptop,Dell Latitude 7490,,1,1,2025-01-10,,7Y6HTQ2,"i5-7300U 16 GB, 256 GB NVMe",,Diamond,#22766,,2025-01-08,,,,,,
295,Dell Laptop,Dell Latitude 7490,,1,1,2025-01-10,,H7DHTQ2,"i5-7300U 16 GB, 256 GB NVMe",,Diamond,#22766,,2025-01-08,,,,,,
296,Dell Laptop,Dell Latitude 7480,,1,1,2025-01-09,,62VP3H2,"i5-7300U 16 GB, 256 GB NVMe",,Diamond,#22474,,2025-01-08,,,,,,
297,Dell Laptop,Dell Latitude 7490,,1,1,2025-01-31,,8S6HTQ2,"i5-7300U 16 GB, 256 GB NVMe",,Store Room Shelf,#23558,,2025-01-08,,,,,,
298,Dell Laptop,Dell Latitude 7490,,1,,,,4Q6HTQ2,"i5-7300U 16 GB, 256 GB NVMe",,Reception Desk,,,2025-01-08,,,,,,
299,Dell Laptop,Dell Latitude 7480,,1,,,,6WSH3H2,"i5-7300U 16 GB, 256 GB NVMe",,Reception Desk,,,2025-01-08,,,,,,
300,Dell Laptop,Dell Latitude 7490,,1,,,,5YKHTQ2,"i5-7300U 16 GB, 256 GB NVMe",,Store Room Shelf,,,2025-01-08,,,,,,
301,Dell Laptop,Dell Latitude 7400,,1,,,,FVXNW33,"i5-7300U 16 GB, 256 GB NVMe",,Store Room Shelf,,,2025-01-08,,,,,,
302,Dell Laptop,Dell Latitude 7490,,1,,,,4NBBLQ2,"i5-7300U 16 GB, 256 GB NVMe",TouchScreen,Store Room Shelf,,,2025-01-08,,,,,,
303,HP CPU,HP EliteDesk 800 G5 SFF,,1,1,2025-01-24,,MXL9515F3Z,,,Haulage,#23406,,2025-01-23,,,,,,
304,HP Monitor,HP E22 G4 Monitor,,1,1,2025-01-24,,CNK1391269,,,Haulage,#23406,,2025-01-23,,,,,,
305,HP Monitor,HP E22 G4 Monitor,,1,1,2025-01-24,,6CM20819W3,,,Haulage,#23406,,2025-01-23,,,,,,
306,Laptop,Lenovo ThinkPad T480s,,1,1,2025-01-27,,PC0W91JA,"16.0 GB, i7-8550U, 1 TB NVMe",,MetroX,#23089,,2025-01-24,,,,,,
307,HP CPU,HP EliteDesk 800 G5 SFF CPU,,1,,,,MXL01826JF,Product# 9LL14EC#ABA,Windows 10 Pro - i7 8th Gen,,,,2025-01-29,,,,,,
308,HP CPU,HP EliteDesk 800 G5 SFF CPU,,1,,,,CZC9277TGK,Product# 5ZU14EC#ABJ,Windows 10 Pro - i7 8th Gen,,,,2025-01-29,,,,,,
309,HP CPU,HP EliteDesk 800 G5 SFF CPU,,1,,,,MXL0112VMD,Product# 8MB14UP# ABA,Windows 10 Pro - i5 9th Gen,,,,2025-01-29,,,,,,
310,HP CPU,HP EliteDesk 800 G5 SFF CPU,,1,,,,MXL011264Q,Product# 8MB14UP# ABA,Windows 10 Pro - i5 9th Gen,,,,2025-01-29,,,,,,
311,HP CPU,HP EliteDesk 800 G5 SFF CPU,,1,,,,MXL011264S,Product# 8MB14UP# ABA,Windows 10 Pro - i5 9th Gen,,,,2025-01-29,,,,,,
312,HP Monitor,HP E22 G4 Monitor,,1,,,,CNK1381KX0,,21.5 inch,,,,2025-01-29,,,,,,
313,HP Monitor,HP E22 G4 Monitor,,1,,,,CNK2010RDH,,21.5 inch,,,,2025-01-29,,,,,,
314,HP Monitor,HP E22 G4 Monitor,,1,,,,6CM2081BOX,,21.5 inch,,,,2025-01-29,,,,,,
315,HP Monitor,HP E22 G4 Monitor,,1,,,,6CM20819WV,,21.5 inch,,,,2025-01-29,,,,,,
316,,Hard Disk,,4,,,,,1 TB HD,,,,,2025-01-29,,,,,,
317,Yealink,Business Phone - SIP - T54W,,1,1,2025-01-31,,801081G070062537,44DBD2622FOE,,Diamond,#22891,,2025-01-30,,,,,,
318,Yealink,Business Phone - SIP - T54W,,1,1,2025-01-31,,801081G070062754,44DBD262276E,,Diamond,#22891,,2025-01-30,,,,,,
319,Yealink,Business Phone - SIP - T53,,1,,,,301086G060001417,44DBD24E388D,Manu Desk,,,,2025-01-30,,,,,,
