id,client_name,client_address,billing_to,service_type,bill_description,ticket_id,billing_date,emailed,comments,invoice_no,invoice_date
,Haulage North America,"473032 Dufferin County Rd 11 , Orangeville ON L9W 2Y9",Haulage North America,na,New VGA cable - (Prabhjot's PC),#19166,2024-09-12,Yes,,,
,Haulage North America,"473032 Dufferin County Rd 11 , Orangeville ON L9W 2Y9",Haulage North America,na,New VGA to display converter installed cable - (Harpreet's PC),#19190,2024-09-12,Yes,,,
,Haulage North America,"473032 Dufferin County Rd 11 , Orangeville ON L9W 2Y9",Haulage North America,na,"2 Yealink Devices:
  
  Yealink Details of 1 SIP - T53
  S/N: 201086F121004154 
  MAC: 249AD8985C44
  
  Yealink Device - 1 SIP T53: 
  - S/N: 201086D051012425
  - MAC: 805E0C2F4D01",#19076,2024-09-12,Yes,,,
,Haulage North America,"473032 Dufferin County Rd 11 , Orangeville ON L9W 2Y9",Haulage North America,na,"2 LCD Installed:
  
  HP Compaq LA2306x Monitor
  S/N: 3CQ3092RS0
  Product No. XN 375A
  
  HP Compaq LA2306x Monitor
  S/N: 3CQ2480XT6
  Product No. XN375A",#19075,2024-09-12,Yes,,,
,Ankit (Diamond),Na,Ankit (Diamond),na,1 Dell Latitude Laptop Charger,#19078,2024-09-11,Yes,,,
,Haulage North America,"473032 Dufferin County Rd 11 , Orangeville ON L9W 2Y9",Haulage North America,na,"2 CPU's Installed:
  
  CPU: 1 Dell Inc CPU
  USER: Harpreet's PC
  System Model: OptiPlex 7060
  Processor: Intel(R) i7-8th Gen
  (RAM): 16.0 GB
  HDD: 1 TB NvMe + 1 TB HDD
  RAM: 16GB
  Service Tag Number: 702DZV2
  
  CPU: 1 Dell Inc CPU
  System Model: OptiPlex 7060
  Processor: Intel(R) i7-8th Gen
  (RAM): 16.0 GB
  HDD: 1 TB NvMe + 500 GB HDD
  Service Tag Number: 4T2YDW2",#19075,2024-09-09,Yes,,,
,MetroX,"13959 Airport Road, Caledon Ontario, L7C 2X6",MetroX,na,"Windows License Upgrade to Windows Pro
  India - Guri Laptop
  SerialNumber 5CD42607SP",#19067,2024-09-09,Yes,,,
,Diamond Insurance Group,"60 Lacoste Blvd Unit 209-210 Brampton
 ON L6P 4B5",Diamond Insurance Group,na,"1 Renewed Dell Laptop + New RDP + Email + DUO
  Username: dig\Harkaran
  Node# 86
  
  Dell Laptop Latitude 7480
  Dell Laptop S/N: 8P338S2 (2018)
  i5-6300U CPU @ 2.40GHz, 2496 Mhz, 2 Core(s), 4 Logical Processor(s)
  (RAM) 16.0 GB
  HDD 256GB",#18435,2024-09-03,Yes,,,
,Diamond Insurance Group,"60 Lacoste Blvd Unit 209-210 Brampton
 ON L6P 4B5",Diamond Insurance Group,na,"1 Renewed Dell Laptop + New RDP + Email + DUO
  Username: dig\shahroz
  Node# 85
  
  Dell Laptop Latitude 7480
  Dell Laptop S/N: HBVYPQ2 (2018)
  i5-6300U CPU @ 2.40GHz, 2496 Mhz, 2 Core(s), 4 Logical Processor(s)
  (RAM) 16.0 GB
  HDD 256GB",#18435,2024-09-03,Yes,,,
,Diamond Insurance Group,"60 Lacoste Blvd Unit 209-210 Brampton
 ON L6P 4B5",Diamond Insurance Group,na,"1 New RDP + Email + DUO
  Username: dig\ayushb
  Node# 83",#18417,2024-08-30,Yes,,,
,Diamond Insurance Group,"60 Lacoste Blvd Unit 209-210 Brampton
 ON L6P 4B5",Diamond Insurance Group,na,"1 New RDP + DUO
  Username: dig\shubrai
  Node# 84",#18398,2024-08-30,Yes,,,
,Diamond Insurance Group,"60 Lacoste Blvd Unit 209-210 Brampton
 ON L6P 4B5",Diamond Insurance Group,na,"1 New RDP + 1 DUO +1 Email
  Username: dig\sahil
  Node# 82",#18355,2024-08-30,Yes,,,
,Haulage North America,"473032 Dufferin County Rd 11 , Orangeville ON L9W 2Y9",Haulage North America,na,"New Domain: Rendex Logistics
  3 Email ID's Created:
  dispatch@rendexlogistics.com 
  safety@rendexlogistics.com 
  accounting@rendexlogistics.com",#17141,2024-08-29,Yes,,,
,Augmented Networks (Jaspreet),Na,Augmented Networks (Jaspreet),na,"1 Dell CPU S/N: 4T2WDW2
  Specifications: 16 GB RAM , 1TB SSD +500 GBIntel(R) Core(TM) i7-8700 CPU @ 3.20GHz, 3192 Mhz, 6 Core(s), 12 Logical Processor(s)
  
  2 Connector Cables,
  1 Power Cable,
  1 Dell Keyboard,
  1 Dell Mouse",#18383,2024-08-28,Yes,,,
,Haulage North America,"473032 Dufferin County Rd 11 , Orangeville ON L9W 2Y9",Haulage North America,na,"New Domain: Roadtrainxpress
  3 Email ID's Created:
  dispatch@roadtrainxpress.com 
  dispatch@lionforcelogistics.com 
  dispatch@roadwaytranshaul.com",#18395,2024-08-28,Yes,,,
,Haulage North America,"473032 Dufferin County Rd 11 , Orangeville ON L9W 2Y9",Haulage North America,na,"2 New Emails
  iceriver@haulagenorthamerica.com 
  mandy@haulagenorthamerica.com",#18278,2024-08-26,Yes,,,
,Diamond Insurance Group,"60 Lacoste Blvd Unit 209-210 Brampton
 ON L6P 4B5",Diamond Insurance Group,na,"1 New RDP + 1 DUO +1 Email
  Username: dig\gurpreet
  
  +1 New Dell Laptop Latitude 7480
  Dell Laptop S/N: B1FTNN2
  i5-6300U CPU @ 2.40GHz, 2496 Mhz, 2 Core(s), 4 Logical Processor(s)
  (RAM) 16.0 GB
  HDD 256GB",#18185,2024-08-21,Yes,,,
,Diamond Insurance Group,"60 Lacoste Blvd Unit 209-210 Brampton
 ON L6P 4B5",Diamond Insurance Group,na,1 Power Cable - (For User Dig\Ankit),#17920,2024-08-16,Yes,,,
,Haulage North America,"473032 Dufferin County Rd 11 , Orangeville ON L9W 2Y9",Haulage North America,na,"New email ""dispatch@hnapharmalogistics.com""",#18098,2024-08-16,Yes,,,
,Diamond Insurance Group,"60 Lacoste Blvd Unit 209-210 Brampton
 ON L6P 4B5",Diamond Insurance Group,na,"1 New RDP + 1 DUO +1 Email
  Username: dig\shilpa",#18037,2024-08-15,Yes,,,
,Diamond Insurance Group,"60 Lacoste Blvd Unit 209-210 Brampton
 ON L6P 4B5",Diamond Insurance Group,na,"1 New RDP + 1 DUO +1 Email
  Username: dig\vijeta
  
  +1 New Dell Laptop Latitude 7480
  Dell Laptop S/N: CDSSPQ2
  i5-6300U CPU @ 2.40GHz, 2496 Mhz, 2 Core(s), 4 Logical Processor(s)
  (RAM) 16.0 GB
  HDD 256GB",#18044,2024-08-15,Yes,,,
,Diamond Insurance Group,"60 Lacoste Blvd Unit 209-210 Brampton
 ON L6P 4B5",Diamond Insurance Group,na,1 Power Cable - Only,#18004,2024-08-13,Yes,,,
,Diamond Insurance Group,"60 Lacoste Blvd Unit 209-210 Brampton
 ON L6P 4B5",Diamond Insurance Group,na,"1 New RDP + 1 DUO + 1 Email
  Username: dig\amanpreet",#17920,2024-08-12,Yes,,,
,Diamond Insurance Group,"60 Lacoste Blvd Unit 209-210 Brampton
 ON L6P 4B5",Diamond Insurance Group,na,"1 New Dell Laptop Latitude 7480
  Dell Laptop S/N: 1VMNFH2
  i5-6300U CPU @ 2.40GHz, 2496 Mhz, 2 Core(s), 4 Logical Processor(s)
  (RAM) 16.0 GB
  HDD 256GB",#17920,2024-08-12,Yes,,,
,Gracious Hardwood Flooring Inc.,"72 Devon Rd, Brampton, ON L6T 5B4",Gracious Hardwood Flooring Inc.,na,New User: Diksha Rana - QB only,#17969,2024-08-12,Yes,,,
,Haulage North America,"473032 Dufferin County Rd 11 , Orangeville ON L9W 2Y9",Haulage North America,na,New User: Prabhjot kaur Rathore,#17768,2024-08-12,Yes,,,
,Haulage North America,"473032 Dufferin County Rd 11 , Orangeville ON L9W 2Y9",Haulage North America,na,New User: Anirudh,#17970,2024-08-12,Yes,,,
,Diamond Insurance Group,"60 Lacoste Blvd Unit 209-210 Brampton
 ON L6P 4B5",Diamond Insurance Group,na,"2 LAPTOP'S: 
  Laptop - Dell Latitude 7480 
  Serial Number:
  - JTH7RN2
  - 3RJSNN2
  · Operating System Windows 10 Pro 64-bit
  · CPU Intel Core i5 6300U @ 2.40GHz 
  · RAM 16.0GB Dual-Channel DDR4 @ 1064MHz",#17901 & 17852,2024-08-09,Yes,,,
,Diamond Insurance Group,"60 Lacoste Blvd Unit 209-210 Brampton
 ON L6P 4B5",Diamond Insurance Group,na,"1 New RDP + 1 DUO + 1 Email
  Username: dig\navdeep",#17901,2024-08-09,Yes,,,
,Diamond Insurance Group,"60 Lacoste Blvd Unit 209-210 Brampton
 ON L6P 4B5",Diamond Insurance Group,na,"1 New RDP + 1 DUO + 1 Email
  Username: dig\angad",#17852,2024-08-09,Yes,,,
,Diamond Insurance Group,"60 Lacoste Blvd Unit 209-210 Brampton
 ON L6P 4B5",Diamond Insurance Group,na,"1 New RDP + 1 DUO + 1 Email
  Username: dig\ankit",#17756,2024-08-09,Yes,,,
,Diamond Insurance Group,"60 Lacoste Blvd Unit 209-210 Brampton
 ON L6P 4B5",Diamond Insurance Group,na,"1 New RDP + 1 DUO + 1 Email
  Username: dig\Priya",#17651,2024-08-06,Yes,,,
,Arthur Transport Company Inc.,"1750 Steeles Avenue East, Brampton ON L6T 1A4",Arthur Transport Company Inc.,na,"1 New RDP + 1 DUO
  Username: Arthur\A6",#11940,2024-08-01,Yes,,,
,Diamond Insurance Group,"60 Lacoste Blvd Unit 209-210 Brampton
 ON L6P 4B5",Diamond Insurance Group,na,"1 New RDP + 1 DUO + 1 Email
  Username: dig\simarjeet",#17611,2024-07-31,Yes,,,
,Diamond Insurance Group,"60 Lacoste Blvd Unit 209-210 Brampton
 ON L6P 4B5",Diamond Insurance Group,na,"3 New Laptop Details:- 
  Laptop - Dell Latitude 7480 - Serial Number :
  - J7K4QQ2
  - G3LMHR2
  - ServiceTag S/N:H6MNMQ2 (Bios S/N: 412CHR2)
  · Operating System Windows 10 Pro 64-bit
  · CPU Intel Core i5 6300U @ 2.40GHz 
  · RAM 16.0GB Dual-Channel DDR4 @ 1064MHz",#17615,2024-07-30,Yes,,,
,MetroX,"13959 Airport Road, Caledon Ontario, L7C 2X6",MetroX,na,"1 Synology Server Setup:
  - Synology - DS923+
  - MAC 9009D05B253D
  - MAC 9009D05B253E
  - D/N - 2410TQR4G3GKG",#17612,2024-07-29,Yes,,,
,MetroX,"13959 Airport Road, Caledon Ontario, L7C 2X6",MetroX,na,"Onsite Visit for Internet Setup. 
  - 3Hrs Serviced
  (12:00noon - 3:00pm)",#17626,2024-07-29,Yes,,,
,Diamond Insurance Group,"60 Lacoste Blvd Unit 209-210 Brampton
 ON L6P 4B5",Diamond Insurance Group,na,"Ethernet Setup at New Office:
  - 4x 18 meter Internet Cabling,
  - 1 Cisco Switch
  - 8 Ethernet Cables 
  - 2 External ports
  - 4 Ethernet Jack",#17610,2024-07-25,Yes,,,
,Diamond Insurance Group,"60 Lacoste Blvd Unit 209-210 Brampton
 ON L6P 4B5",Diamond Insurance Group,na,"3 New RDP + 3 DUO + 3 Email
  Username: dig\gautam, dig\navneet, dig\rupinder1",#17389,2024-07-25,Yes,,,
,Diamond Insurance Group,"60 Lacoste Blvd Unit 209-210 Brampton
 ON L6P 4B5",Diamond Insurance Group,na,"1 New Laptop Details:- 
  Laptop - Dell Latitude 7480 - Serial Number : B98P0N2
  · Operating System Windows 10 Pro 64-bit 
  · CPU Intel Core i5 6300U @ 2.40GHz 
  · RAM 16.0GB Dual-Channel DDR4 @ 1064MHz",#17389,2024-07-25,Yes,,,
,Diamond Insurance Group,"60 Lacoste Blvd Unit 209-210 Brampton
 ON L6P 4B5",Diamond Insurance Group,na,Sandeep Mann - Personal PC + 2 LCDs - Rajkaran handled the Payment,#14873,2024-07-24,Yes,,,
,Diamond Insurance Group,"60 Lacoste Blvd Unit 209-210 Brampton
 ON L6P 4B5",Diamond Insurance Group,na,"New RDP + DUO + Email
  Username: dig\jaspreet",#16925,2024-07-17,Yes,,,
,Diamond Insurance Group,"60 Lacoste Blvd Unit 209-210 Brampton
 ON L6P 4B5",Diamond Insurance Group,na,"New RDP + DUO + Email
  Username: dig\asim",#16009,2024-07-12,Yes,,,
,Diamond Insurance Group,"60 Lacoste Blvd Unit 209-210 Brampton
 ON L6P 4B5",Diamond Insurance Group,na,"New RDP + DUO + Email
  Username: dig\ritika",#16772,2024-07-12,Yes,,,
,Diamond Insurance Group,"60 Lacoste Blvd Unit 209-210 Brampton
 ON L6P 4B5",Diamond Insurance Group,na,"2 New Laptops
  
  Serial Number:-
  9CPCST2
  3MWS7S2
  
  OS Name Microsoft Windows 10 Pro
  System Model Latitude 7480
  System Manufacturer Dell Inc.
  Processor Intel(R) Core(TM) i5-6300U CPU @ 2.40GHz, 2496 Mhz, 2 Core(s), 4 Logical Processor(s)
  Installed Physical Memory (RAM) 16.0 GB",#16831,2024-07-12,Yes,,,
,Gracious Hardwood Flooring Inc.,"72 Devon Rd, Brampton, ON L6T 5B4",Gracious Hardwood Flooring Inc.,na,"3 Wireless New Devices + 1 New Base( Existing Exts 103; 104; 105)
  All New Devices.
  3 Yealink Wireless Phone W56
  SN#- 8301523032519184
  SN#- 8301523032520712
  SN#- 8301523072500153
  1 Yealink Base W70B:
  SN#- 802017F072500695",#14866,2024-07-11,Yes,,,
,Diamond Insurance Group,"60 Lacoste Blvd Unit 209-210 Brampton
 ON L6P 4B5",Diamond Insurance Group,na,"New Laptop + New RDP + New Email + New DUO
  
  User: dig\damanjeet
  Serial Number: 8T8NFH2
  OS Name Microsoft Windows 10 Pro
  System Model Latitude 7480
  System Manufacturer Dell Inc.
  Processor Intel(R) Core(TM) i5-6300U CPU @ 2.40GHz, 2496 Mhz, 2 Core(s), 4 Logical Processor(s)
  Installed Physical Memory (RAM) 16.0 GB",#15038,2024-07-05,Yes,,,
,Diamond Insurance Group,"60 Lacoste Blvd Unit 209-210 Brampton
 ON L6P 4B5",Diamond Insurance Group,na,"New RDP + DUO + Email
  Username: dig\karman",#15117,2024-07-04,Yes,,,
,Diamond Insurance Group,"60 Lacoste Blvd Unit 209-210 Brampton
 ON L6P 4B5",Diamond Insurance Group,na,"New RDP + DUO + Email
  Username: dig\geetika",#15038,2024-06-27,Yes,,,
,Diamond Insurance Group,"60 Lacoste Blvd Unit 209-210 Brampton
 ON L6P 4B5",Diamond Insurance Group,na,"New Laptop 
  
  User: dig\geetika
  Serial Number: CYLKHR2
  OS Name Microsoft Windows 10 Pro
  System Model Latitude 7480
  System Manufacturer Dell Inc.
  Processor Intel(R) Core(TM) i5-6300U CPU @ 2.40GHz, 2496 Mhz, 2 Core(s), 4 Logical Processor(s)
  Installed Physical Memory (RAM) 16.0 GB",#15038,2024-06-27,Yes,,,
,MetroX,"13959 Airport Road, Caledon Ontario, L7C 2X6",MetroX,na,"1 VGA to display converter + New 3 CPUs.Dell OptiPlex
  Serial Numbers:
  702HZV2
  CMV9ZV2
  4T2WDW2
  
  1 TB SSD + 500GB 
  System Manufacturer Dell Inc.
  System Model OptiPlex 7060
  Processor Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz, 3192 Mhz, 6 Core(s), 12 Logical Processor(s)
  Installed Physical Memory (RAM) 16.0 GB",#14992,2024-06-26,Yes,,,
,Diamond Insurance Group,"60 Lacoste Blvd Unit 209-210 Brampton
 ON L6P 4B5",Diamond Insurance Group,na,"New Laptop 
  
  User: dig\kuljit 
  Serial Number: 3MTRHM2
  OS Name Microsoft Windows 10 Pro
  System Model Latitude 7480
  System Manufacturer Dell Inc.
  Processor Intel(R) Core(TM) i5-6300U CPU @ 2.40GHz, 2496 Mhz, 2 Core(s), 4 Logical Processor(s)
  Installed Physical Memory (RAM) 16.0 GB",#14970,2024-06-24,Yes,,,
,Diamond Insurance Group,"60 Lacoste Blvd Unit 209-210 Brampton
 ON L6P 4B5",Diamond Insurance Group,na,"New Laptop + New RDP + New Email + New DUO
  
  User: dig\kuldeep ( Reference Rupinderpal Bhuttar)
  Serial Number: CD1CHR2
  OS Name Microsoft Windows 10 Pro
  System Model Latitude 7480
  System Manufacturer Dell Inc.
  Processor Intel(R) Core(TM) i5-6300U CPU @ 2.40GHz, 2496 Mhz, 2 Core(s), 4 Logical Processor(s)
  Installed Physical Memory (RAM) 16.0 GB",#14883,2024-06-24,Yes,,,
,Diamond Insurance Group,"60 Lacoste Blvd Unit 209-210 Brampton
 ON L6P 4B5",Diamond Insurance Group,na,"New Laptop + New RDP + New Email + New DUO
  
  User: dig\Urvashi ( Reference Jasmeet Singh)
  
  Serial Number: BR5XPQ2
  OS Name Microsoft Windows 10 Pro
  System Model Latitude 7480
  System Manufacturer Dell Inc.
  Processor Intel(R) Core(TM) i5-6300U CPU @ 2.40GHz, 2496 Mhz, 2 Core(s), 4 Logical Processor(s)
  Installed Physical Memory (RAM) 16.0 GB",#14911,2024-06-24,Yes,,,
,Diamond Insurance Group,"60 Lacoste Blvd Unit 209-210 Brampton
 ON L6P 4B5",Diamond Insurance Group,na,"New RDP + DUO + Email
  Username: dig\sanjeev",#14926,2024-06-24,Yes,,,
,Diamond Insurance Group,"60 Lacoste Blvd Unit 209-210 Brampton
 ON L6P 4B5",Diamond Insurance Group,na,"New RDP + DUO + Email
  Username: dig\kuljit",#14792,2024-06-19,Yes,,,
,MetroX,"13959 Airport Road, Caledon Ontario, L7C 2X6",MetroX,na,"2 New Workstations + 1 HDMI to Display converter.
  
  Details:- 
  
  S/N# 7TW9FB2
  S/N# 98K9RD2
  
  Installed Physical Memory (RAM) 32.0 GB
  SSD - HDD 2 TB
  System Manufacturer Dell Inc.
  System Model Precision Tower 5810
  Processor Intel(R) Xeon(R) CPU E5-1620 v3 @ 3.50GHz, 3501 Mhz, 4 Core(s), 8 Logical Processor(s)",#14822,2024-06-19,Yes,,,
,Roadies Logistics and Shunt Services,"1106 Cardiff Blvd, Mississauga, ON L5S 1P3",Roadies Logistics and Shunt Services,na,"1 New SIP - T53 Yealink (Ext. 102)
  ? S/N# 201086F121004247 - MAC# 249AD898583D",#14787,2024-06-18,Yes,,,
,Roadies Logistics and Shunt Services,"1106 Cardiff Blvd, Mississauga, ON L5S 1P3",Roadies Logistics and Shunt Services,na,"1 New SIP - T53 Yealink (Ext. 103)
  ? S/N# 201086F121002954 - MAC# 249AD8985847",#14786,2024-06-18,Yes,,,
,Haulage North America,"473032 Dufferin County Rd 11 , Orangeville ON L9W 2Y9",Haulage North America,na,New User - Balvinder,#14642,2024-06-13,Yes,,,
,MetroX,"13959 Airport Road, Caledon Ontario, L7C 2X6",MetroX,na,New User - Arun (India),#14646,2024-06-13,Yes,,,
,MetroX,"13959 Airport Road, Caledon Ontario, L7C 2X6",MetroX,na,New User - Jagdev (India),#14586,2024-06-13,Yes,,,
,Haulage North America,"473032 Dufferin County Rd 11 , Orangeville ON L9W 2Y9",Haulage North America,na,"New Email - ""SUSTANA"" Email Account Created",#14580,2024-06-12,Yes,,,
,MetroX,"13959 Airport Road, Caledon Ontario, L7C 2X6",MetroX,na,New user + Email setup (Jamie Fraresso),#14555,2024-06-11,Yes,,,
,Haulage North America,"473032 Dufferin County Rd 11 , Orangeville ON L9W 2Y9",Haulage North America,na,New User Lakhvir Kaur,#14556,2024-06-10,Yes,,,
,Haulage North America,"473032 Dufferin County Rd 11 , Orangeville ON L9W 2Y9",Haulage North America,na,New User Balvinder Singh,#14557,2024-06-10,Yes,,,
,Haulage North America,"473032 Dufferin County Rd 11 , Orangeville ON L9W 2Y9",Haulage North America,na,New User Kevin Becker,#14440,2024-06-06,Yes,,,
,Haulage North America,"473032 Dufferin County Rd 11 , Orangeville ON L9W 2Y9",Haulage North America,na,"Additional cables and connectors used>
  • 1 DVI cable + 1 VGA cable + 1 HDMI cable
  • 1 dvi to Display Converter 
  • 1 USB cable for Printer
  • 1 HDMI to Display Converter",#14294,2024-06-05,Yes,,,
,Haulage North America,"473032 Dufferin County Rd 11 , Orangeville ON L9W 2Y9",Haulage North America,na,"1 New Monitor/ LCD - 21.5""
  DELL - P2219H
  S/N: CN-0V7JP5-QDC00-83-5L0U-A03",#14294,2024-06-05,Yes,,,
,Haulage North America,"473032 Dufferin County Rd 11 , Orangeville ON L9W 2Y9",Haulage North America,na,"New CPU 2 Quantity details:
  HDD 256 GB NvMe + 500 GB 
  SerialNumber MXL746213P 
  SerialNumber 2UA7391WB4
  System Model HP EliteDesk 800 G3 SFF
  Processor Intel(R) Core(TM) i7-6700 CPU @ 3.40GHz, 3408 Mhz, 4 Core(s), 8 Logical Processor(s)
  Installed Physical Memory (RAM) 16.0 GB",#14294,2024-06-05,Yes,,,
,Haulage North America,"473032 Dufferin County Rd 11 , Orangeville ON L9W 2Y9",Haulage North America,na,"New Business Number = 12892012645
  New Extension = 201",#14294,2024-06-05,Yes,,,
,Haulage North America,"473032 Dufferin County Rd 11 , Orangeville ON L9W 2Y9",Haulage North America,na,"New Yealink T53 - 1 Quantity
  Serial # 201086F121002329",#14294,2024-06-05,Yes,,,
,Diamond Insurance Group,"60 Lacoste Blvd Unit 209-210 Brampton
 ON L6P 4B5",Diamond Insurance Group,na,"New RDP + DUO + Email
  Username: dig\shruti",#14272,2024-05-31,Yes,,,
,Diamond Insurance Group,"60 Lacoste Blvd Unit 209-210 Brampton
 ON L6P 4B5",Diamond Insurance Group,na,"New RDP + DUO + Email
  Username: dig\saurav",#14209,2024-05-29,Yes,,,
,Gracious Hardwood Flooring Inc.,"72 Devon Rd, Brampton, ON L6T 5B4",Gracious Hardwood Flooring Inc.,na,"2 New RDP + DUO + QB
  gracious\karanvir
  gracious\vani",#14195,2024-05-27,Yes,,,
,Hi-End Diesel Truck Repair Inc.,"1123 Lorimar Dr, Mississauga, ON L5S 1M5",Hi-End Diesel Truck Repair Inc.,na,"Time 1 hr. (12:25pm - 1:05pm)
  Onsite Printer Install
  HP OfficeJet 8710.
  Credit Card information provided to Rajkaran for Billing.",#14143,2024-05-27,Yes,,,
,Diamond Insurance Group,"60 Lacoste Blvd Unit 209-210 Brampton
 ON L6P 4B5",Diamond Insurance Group,na,"New Laptop = 5 Quantity
  - SerialNumber 2TTWPQ2
  - SerialNumber G8LSNN2
  - SerialNumber D3Q26M2
  - SerialNumber 7YNT7S2
  - SerialNumber DHHTRQ2
  
  Specifications:-
  System Manufacturer Dell Inc.
  System Model Latitude 7480
  Processor Intel(R) Core(TM) i5-6300U CPU @ 2.40GHz, 2496 Mhz, 2 Core(s), 4 Logical Processor(s)
  Installed Physical Memory (RAM) 16.0 GB
  OS Name Microsoft Windows 10 Pro
  HDD 256 GB SSD",#13738,2024-05-16,Yes,,,
,Diamond Insurance Group,"60 Lacoste Blvd Unit 209-210 Brampton
 ON L6P 4B5",Diamond Insurance Group,na,"New RDP + DUO + Email
  Username: dig\gurmeet",#13748,2024-05-15,Yes,,,
,Diamond Insurance Group,"60 Lacoste Blvd Unit 209-210 Brampton
 ON L6P 4B5",Diamond Insurance Group,na,"New RDP + DUO + Email
  Username: dig\muqadas",#13776,2024-05-15,Yes,,,
,Diamond Insurance Group,"60 Lacoste Blvd Unit 209-210 Brampton
 ON L6P 4B5",Diamond Insurance Group,na,"New RDP + DUO + Email
  Username: dig\ditiya",#13842,2024-05-15,Yes,,,
,Diamond Insurance Group,"60 Lacoste Blvd Unit 209-210 Brampton
 ON L6P 4B5",Diamond Insurance Group,na,"New RDP + DUO + Email
  Username: dig\harmanjeet",#13744,2024-05-15,Yes,,,
,Diamond Insurance Group,"60 Lacoste Blvd Unit 209-210 Brampton
 ON L6P 4B5",Diamond Insurance Group,na,"New RDP + DUO + Email
  Username: dig\lovedeep",#13829,2024-05-15,Yes,,,
,Diamond Insurance Group,"60 Lacoste Blvd Unit 209-210 Brampton
 ON L6P 4B5",Diamond Insurance Group,na,"Office 365 License on Preeti Sidhu personal Laptop
  Credit Card info provided to Rajkaran already.",#13839,2024-05-13,Yes,,,
,Gracious Hardwood Flooring Inc.,"72 Devon Rd, Brampton, ON L6T 5B4",Gracious Hardwood Flooring Inc.,na,"12:45pm - 1:15pm - 30 minutes Onsite
  VOIP base units relocation to reception area.",#13785,2024-05-10,Yes,,,
,Ontario Transway,"2020 Clark Blvd. Unit # 1B
 Brampton ON, L6T 5R4",Ontario Transway,na,"Time 1 hour: 11:30am - 12:30 pm- 1st Sun Pac Survey
  Went to Clark Office and brought 2 VOIPs
  to be setup in Sun Pac.",#13524,2024-05-10,Yes,,,
,Diamond Insurance Group,"60 Lacoste Blvd Unit 209-210 Brampton
 ON L6P 4B5",Diamond Insurance Group,na,"2 Dell Laptop Details:- Latitude 7480
  Serial Number F30MJM2
  Serial Number 296H3M2
  Installed Physical Memory (RAM) 16.0 GB
  HDD 256 SSD
  Processor Intel(R) Core(TM) i5-6300U CPU @ 2.40GHz, 2496 Mhz, 2 Core(s), 4 Logical Processor(s)",#13021,2024-05-06,Yes,,,
,Gracious Hardwood Flooring Inc.,"72 Devon Rd, Brampton, ON L6T 5B4",Gracious Hardwood Flooring Inc.,na,"Onsite Visit 1.5 Hours
  New Hardware Used
  #13567 HDMI to Display Converter = 1 Qty
  
  Multiple tickets closed
  #13715 Re-organised cables at Sales Counter
  #13714 2 Wireless Base shifted to Server Room.
  #13567 2 CPUs not displaying anything.",#13567,2024-05-06,Yes,,,
,Gracious Hardwood Flooring Inc.,"72 Devon Rd, Brampton, ON L6T 5B4",Gracious Hardwood Flooring Inc.,na,"New RDP + DUO
  gracious\kruti",#13659,2024-05-03,Yes,,,
,Gracious Hardwood Flooring Inc.,"72 Devon Rd, Brampton, ON L6T 5B4",Gracious Hardwood Flooring Inc.,na,"New RDP + DUO + QB
  gracious\arpan",#13611,2024-05-03,Yes,,,
,Gracious Hardwood Flooring Inc.,"72 Devon Rd, Brampton, ON L6T 5B4",Gracious Hardwood Flooring Inc.,na,"New VOIP Extension 204
  New 1 IP DECT Phone W56H Cordless
  S/N# 8301523042505549",#13229,2024-05-03,Yes,,,
,Gracious Hardwood Flooring Inc.,"72 Devon Rd, Brampton, ON L6T 5B4",Gracious Hardwood Flooring Inc.,na,Onsite 5:30pm - 6:30pm 1 Exisiting Workstation Setup (Arpan),#13587,2024-05-02,Yes,,,
,Haulage North America,"473032 Dufferin County Rd 11 , Orangeville ON L9W 2Y9",Haulage North America,na,New user + New Email - Matt,#12726,2024-05-02,Yes,,,
,Gracious Hardwood Flooring Inc.,"72 Devon Rd, Brampton, ON L6T 5B4",Gracious Hardwood Flooring Inc.,na,"New RDP + DUO + QB
  gracious\asim",#13542,2024-04-30,Yes,,,
,Haulage North America,"473032 Dufferin County Rd 11 , Orangeville ON L9W 2Y9",Haulage North America,na,"2 New Devices + 1 New Extension 129 + 1 Exisitng Extension 102 Used
  Travel 2 hrs Onsite 1 hr. - Other tickets resolved.(13543, 13520,13237,13555)
  New Devices:- 
  1 Yealink T54W
  1 Yealink T53",#13185,2024-04-30,Yes,,,
,Ontario Transway,"2020 Clark Blvd. Unit # 1B
 Brampton ON, L6T 5R4",Ontario Transway,na,New Spiral Phone Cord - Yealink,#13451,2024-04-29,Yes,,,
,Gracious Hardwood Flooring Inc.,"72 Devon Rd, Brampton, ON L6T 5B4",Gracious Hardwood Flooring Inc.,na,"New RDP + DUO + QB
  gracious\samriti",#13454,2024-04-26,Yes,,,
,Gracious Hardwood Flooring Inc.,"72 Devon Rd, Brampton, ON L6T 5B4",Gracious Hardwood Flooring Inc.,na,"New RDP + DUO + QB
  gracious\balraj",#13428,2024-04-24,Yes,,,
,Gracious Hardwood Flooring Inc.,"72 Devon Rd, Brampton, ON L6T 5B4",Gracious Hardwood Flooring Inc.,na,"New RDP + DUO + QB
  gracious\aditya",#13429,2024-04-24,Yes,,,
