id,manufacturer,product_item,description,total_stock_received,serial_no,mac_product_no,comments,stock_in_date
297,Dell Laptop,Dell Latitude 7490,,1,8S6HTQ2,"i5-7300U 16 GB, 256 GB NVMe",,1/8/2025
303,HP CPU,HP EliteDesk 800 G5 SFF,,1,MXL9515F3Z,,,1/23/2025
304,HP Monitor,HP E22 G4 Monitor,,1,CNK1391269,,,1/23/2025
305,HP Monitor,HP E22 G4 Monitor,,1,6CM20819W3,,,1/23/2025
306,Laptop,Lenovo ThinkPad T480s,,1,PC0W91JA,"16.0 GB, i7-8550U, 1 TB NVMe",,1/24/2025
317,Yealink,Business Phone - SIP - T54W,,1,801081G070062537,44DBD2622FOE,,1/30/2025
318,Yealink,Business Phone - SIP - T54W,,1,801081G070062754,44DBD262276E,,1/30/2025
9,,LCD,,2,,,,5/3/2023
16,,LCD,,2,,,,6/5/2023
24,Yealink,Power Adapter,,2,,,,6/12/2023
29,Yealink,Yealink T54W,,1,,,,6/30/2023
30,Yealink,Power Adapter,In my Desk Drawers,1,,,,6/30/2023
35,Dell,Dell Precision T1700,,2,,,,8/4/2023
56,,Phone Adapters,,2,,,,1/17/2024
58,Dell,Laptop Latitude 7480,,2,,,,1/30/2024
61,Rajkaran Home,"Dell 27"" LCD",,2,,,,2/21/2024
63,,"Dell 23""LCD",,2,,,10-Apr-24,4/9/2024
65,,Cisco Switch,,2,,,,4/13/2024
68,,Desktops - HP,"i7-6th gen, 256 NVme + 500 GB + 16 GB RAM",2,,,,4/22/2024
72,,Dell Latitude 7480,Ticket to be closed,2,,,,5/3/2024
1,,Yealink T54W,,3,,,,1/25/2023
43,Yealink,Power Adapter,,3,,,,12/4/2023
67,Dell,Laptop Latitude 7480,,4,,,,4/15/2024
27,,Bluetooth HeadSet,,5,,,,6/13/2023
54,Yealink,Yealink T53,,5,,,,1/16/2024
55,,Phone Adapters,,5,,,,1/17/2024
74,,Dell Latitude 7480,,5,,,,5/16/2024
2,,Yealink T54W,,7,,,,3/3/2023
21,,Desktops - HP,"i7-6th gen, 256 NVme + 500 GB + 16 GB RAM",10,,,,6/9/2023
26,Yealink,Yealink T54W,,8,,,,6/13/2023
12,,Desktops,,7,,,,5/9/2023
22,,"LCD - Dell 22""",,2,,,,6/9/2023
23,Yealink,Yealink T54W,Ezeetel,8,,,,6/12/2023
25,MPOW,Bluetooth HeadSet,Ezeetel,2,,,,6/12/2023
31,HP,Desktops - HP,"i7-6th gen, 256 NVme",5,,,,7/4/2023
33,Yealink,Power Adapter,,1,,,,7/24/2023
73,,Dell Elite Desk,Varinder Rana cancelled this,1,,,SN#MXL746213P,5/3/2024
80,tp-link,5-Port Gigabit Desktop Switch - TLSG1005D,Model TL-SG1005D(UN) Ver:11.0,1,,,,5/30/2024
81,Kingston,Solid-State Drive - 240GB,10x Faster Plus - 240GB Drive,1,,,,5/30/2024
97,Dell CPU,Dell OptiPlex,"16 GB RAM , 1TB SSD +500 GBIntel(R) Core(TM) i7-8700 CPU @ 3.20GHz, 3192 Mhz, 6 Core(s), 12 Logical Processor(s)",1,4ZDFJV2,,Manu Desk,6/20/2024
100,Yealink,Yealink W56H,,1,8.30152E+15,,,6/21/2024
105,,HDMI to Display Converter,,10,,,,6/24/2024
107,,VGA CAbles,,5,,,,6/24/2024
125,Synology,Synology - Disk Station DS923+    4-BAY,,1,2440TQRQGWZJV,,,7/25/2024
130,Dell - Docking Station,Dell WD15,,1,05FDDV - 12966-81K-0104-A05,8C-EC-4B-2A-3D-C8,,8/21/2024
139,Dell - Laptop,Dell Latitude 7480,System Model Latitude 7480 - i5-6300U CPU @ 2.40GHz - HDD 256GB - (RAM) 16.0 GB,1,9S5XPQ2 (2018),laptop Keys Issue- Returning,,8/28/2024
159,Dell,LCD S2725H,,1,CN-0V8C56-WSL00-42S-322B,F8THK04,,9/25/2024
162,Dell,Keyboards,,12,,,,9/30/2024
163,CISCO,Cisco Switches,,1,FOC1437Y45C,,,9/30/2024
164,CISCO,Cisco Switches,,1,FOC1733Z290,,,9/30/2024
165,CISCO,Cisco Switches,,1,CAT090R0VL,,,9/30/2024
166,CISCO,Cisco Switches,,1,FOC1647W093,,,9/30/2024
168,Dell,Dell Opti Plex,i5 6th Gen 16 GB RAM 512 GB SSD,1,HV0XZV2,Returned to Vendor,Faulty Shuts down ,10/28/2024
184,,Cable - HDMI to DVI,,4,Stock re-checked,Store Top Drawer,,12/19/2024
185,9.8 feet,Cable - HDMI to DVI,,1,Stock re-checked,Store Top Drawer,,12/19/2024
186,White,Cable - Display,,1,Stock re-checked,Store Top Drawer,,12/19/2024
187,Black,Cable - Display,,2,Stock re-checked,Store Top Drawer,,12/19/2024
188,10 feet,Cable - VGA,,1,Stock re-checked,Store Top Drawer,,12/19/2024
189,6 feet,Cable - VGA,,1,Stock re-checked,Store Top Drawer,,12/19/2024
190,,Cable - VGA,,14,Stock re-checked,Store Top Drawer,,12/19/2024
191,10 feet,Cable - HDMI,,1,Stock re-checked,Store Top Drawer,,12/19/2024
192,,Cable - DVI,,2,Stock re-checked,Store Top Drawer,,12/19/2024
193,,Cable - HDMI to Display,,1,Stock re-checked,Store Top Drawer,,12/19/2024
194,,Cable - HDMI to VGA,,5,Stock re-checked,Store Top Drawer,,12/19/2024
195,,Converter - DVI to Display,,12,Stock re-checked,Store Top Drawer,,12/19/2024
196,,Converter - VGA to Display,,7,Stock re-checked,Store Top Drawer,,12/19/2024
201,,Converter - HDMI to Display,,1,Stock re-checked,Store Top Drawer,Damaged,12/19/2024
202,,Converter - HDMI to Display,,1,Stock re-checked,Store Top Drawer,Damaged,12/19/2024
203,Cat6 - 1 feet,N/W Cable,,20,Stock re-checked,Store Middle Drawer,,12/19/2024
204,Cat5e - 6 Inch,N/W Cable,,9,Stock re-checked,Store Middle Drawer,,12/19/2024
205,Cat6 - 75 feet,N/W Cable,,1,Stock re-checked,Store Middle Drawer,,12/19/2024
206,Cat6 - 100 feet,N/W Cable,,1,Stock re-checked,Store Middle Drawer,,12/19/2024
207,Cat6 - 10 feet,N/W Cable,,4,Stock re-checked,Store Middle Drawer,,12/19/2024
208,Cat6 - 7 feet,N/W Cable,,1,Stock re-checked,Store Middle Drawer,,12/19/2024
209,,N/W USB - RJ45 Ext Adapter,,1,Stock re-checked,Store Middle Drawer,,12/19/2024
211,,Phone Spiral Cords,,1,Stock re-checked,Reception Desk Lower Drawer,,12/19/2024
212,,Phone Spiral Cords,,1,Stock re-checked,Reception Desk Lower Drawer,,12/19/2024
213,,Phone Spiral Cords,,1,Stock re-checked,Reception Desk Lower Drawer,,12/19/2024
214,,Phone Spiral Cords,,1,Stock re-checked,Reception Desk Lower Drawer,,12/19/2024
215,,Phone Spiral Cords,,1,Stock re-checked,Reception Desk Lower Drawer,,12/19/2024
216,,Phone Spiral Cords,,1,Stock re-checked,Reception Desk Lower Drawer,,12/19/2024
217,,Phone Spiral Cords,,1,Stock re-checked,Reception Desk Lower Drawer,,12/19/2024
218,,Phone Spiral Cords,,1,Stock re-checked,Reception Desk Lower Drawer,,12/19/2024
